0,1,2,3,4,5,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
Miguel Gallardo,Canciones De Amor De Miguel Gallardo,Eternamente Amame,1998,TRAAILM128F93480BB,7Cj3XPczuuW2N0E5IX1HlG,0.63,0.461,7,-12.377,0,0.0315,0.661,0,0.121,0.348,126.414,237840
Tyrone Davis,Call Tyrone,Cheatin' In The Next Room,1999,TRAAIBB12903CECB35,3xwDeFIM42Mj9DeiY9h41q,0.692,0.435,10,-10.728,1,0.0374,0.426,0.00104,0.0668,0.713,80.989,235907
Bob Margolin,In North Carolina,You Rascal You,2007,TRAAJBU128F9326C02,3fINJasKEQ7asqNj1aTP2D,0.836,0.346,4,-11.393,1,0.0538,0.941,0.000174,0.114,0.964,110.144,126600
James Hunter,A Tribute to The American Horse,Cowboy Ways,2010,TRAAJNM12903CF4750,5cGyNyFgPSiCwSnBwCMg0r,0.767,0.651,2,-5.762,1,0.0271,0.173,0,0.165,0.701,114.972,194653
Xmilk,Scarcity,Sense And Trick,2006,TRAAKVA128F934E69E,4i65xEMU61ejTYFHGg8nQh,0.31,0.944,0,-4.065,1,0.103,0.0000239,0.876,0.104,0.585,141.787,123733
Brazilian Tropical Orchestra,American Songbook - Bacharach,One Less Bell To Answer,1999,TRAAKQS128F4224DE1,770XkoYjIsGQPoy46wX5lk,0.149,0.39,2,-9.012,0,0.0289,0.388,0.783,0.177,0.221,77.588,194080
Britt Nicole,Hanging On (Premiere Performance Plus Track),Hanging On (Medium Key Performance Track Without Background Vocals),2010,TRAAKVZ12903D074BB,5wfsNGEBtkrK0ECZMWIO9a,0.638,0.432,6,-5.303,1,0.041,0.0152,0.768,0.121,0.479,79.964,205333
Gil Semedo,Nha Vitória,Festa,2006,TRAAKSB128F934D73A,0vDyuMxy7bbw8CCtglhv3v,0.746,0.912,11,-6.528,1,0.0424,0.0214,0.000683,0.0784,0.963,113.026,285373
Milan Band,Milan Milan,Ciao Milan,2001,TRAALSV128F4282B9B,2lgbLnDXVI0uhvTRJH3LnC,0.685,0.665,8,-8.64,1,0.0362,0.779,0.0000105,0.0666,0.733,128.495,151973
Sven Tasnadi,El Fuego De Dentro,2190 Dias Contigo,2007,TRAALEO128F42A7AEA,4A0b9OnIlvbwufYi0JLC1X,0.841,0.335,8,-11.886,1,0.0613,0.206,0.891,0.0989,0.354,123.028,570843
Gary Hobbs,Of My Times,The Look Of Love,2004,TRAAMZR128F9315DCC,7GLwOuLncUX8ZtooD85CiA,0.56,0.524,0,-8.483,1,0.0664,0.782,0.237,0.0951,0.709,125.217,289640
The Jordanaires,Joy In Our Hearts - The Gospel Side Of The Jordanaires,Sweet By And By,1996,TRAAMKW128F4249CF0,4foTQt3U67UovlaRoJSxQr,0.507,0.249,0,-16.695,1,0.0434,0.634,0,0.0705,0.479,160.202,176507
Kiril Valeri,Behind The Blue,Bulgarian Dream,2007,TRAAMGJ12903CD315C,4LjoAsbTiZoh2d0HnLAcH5,0.471,0.911,11,-6.815,1,0.135,0.0666,0.0187,0.141,0.498,191.947,306827
Word,Matumago X Press,Amalgama,2007,TRAAMII128F933B583,2XuCfNGCkVzF6JLu8oE68Z,0.699,0.891,9,-3.573,1,0.295,0.451,0,0.0575,0.736,94.058,229720
Jim Chappell,Manila Nights,Still,1994,TRAANLZ128F934EC42,3dEGVKvsuH4sPDUiKnNICV,0.258,0.107,0,-18.241,1,0.0452,0.984,0.851,0.0818,0.0387,75.167,263933
Flávio José,Seu Olhar Não Mente,Jogo Limpo,2000,TRAAOTT128F9342E04,1IgASoJfRdTx2ZSQieTrHo,0.557,0.79,0,-7.722,0,0.0472,0.0118,0.00000321,0.296,0.891,168.443,252027
Pery Ribeiro,S'Wonderful Movie'n Bossa,Our Love Is Here To Stay,2019,TRAAOYG128F9314996,7KM8SDVwFK4f0TrezqlM2t,0.728,0.304,7,-17.358,1,0.041,0.905,0.000472,0.337,0.451,133.108,177586
Daniela Dessì,Reiki - Spiritual Fitness_ Relaxation and Chakra Meditation,New Age,2012,TRAAPXK128F934DF25,52UZXFtlEsT7et6eY4WDfu,0.208,0.454,2,-10.345,0,0.0347,0.931,0.913,0.0943,0.101,139.823,333080
Soular,Time and Space,Everything Changes,2007,TRAAPCC128F42519A7,4ionaLwnjFB87LzLQNNM9n,0.549,0.714,6,-6.807,1,0.0339,0.001,0.875,0.121,0.224,110.026,244467
Dakis,Moments,Perasmena Mesanihta,2008,TRAAPQQ128F427C750,17RqbYkXUA9KQ3KCBJhVkz,0.582,0.52,2,-8.194,0,0.0318,0.351,0,0.323,0.536,100.093,172343
Chris Brown,Forever,Forever,2008,TRAAPVV128F425D64C,3NZJlJemX3mzjf56MqC5ML,0.672,0.82,11,-4.456,1,0.0459,0.0368,0.000188,0.184,0.438,120.005,278573
Brian Keane,The Way West,Battle Of The Rosebud / Cries,2006,TRAAQZF12903CEDCB8,0AuGM8N8AUGsd8HszDIuja,0.172,0.068,6,-31.119,0,0.0439,0.809,0.966,0.15,0.0431,118.218,130533
DJ Dips,This DJ,Gerra De De,2009,TRAAQDL12903CA8FB5,3jop2VXhGmDXq4wmvdAZQX,0.763,0.897,1,-5.88,1,0.134,0.19,0.000797,0.106,0.916,129.985,238347
Ana Bekuta,Zlatni hitovi '90 1,Kako mi je pitas sad,2010,TRAAQEV12903CB5459,5AIfcDaD8SDDG7KvCA44H8,0.616,0.534,0,-13.948,1,0.0441,0.0515,0.00000641,0.0961,0.916,160.221,145587
Aberdeen,Suburban,Beyond the Light,2000,TRAAQZQ128EF35C51A,0YyjeRGMH3cUVoqHO4rDzC,0.323,0.836,9,-12.896,1,0.0454,0.00937,0.453,0.289,0.662,135.684,266667
Jason Miles,Miles To Miles,Voices On The Corner,2005,TRAAQFC128F425ED83,1TD3MS40gYhBs9hu0IEgpD,0.85,0.53,8,-9.676,1,0.0951,0.00991,0.814,0.129,0.539,101.014,235760
Boogie Pimps,PeeBoy EP,Get Back Down,2010,TRAAQYU12903CE68CE,7AmbrteLRZQNJFaFNTFv7b,0.919,0.469,10,-7.404,0,0.162,0.00508,0.729,0.126,0.317,124.994,415035
Gloriana,Il meglio di Gloriana,Pulecenella 'e mò,2009,TRAARRG12903CDB456,5PFJsnXMxP7F4MNG6BLLlv,0.56,0.245,8,-17.118,1,0.163,0.492,0,0.154,0.788,125.086,180560
Agnes,I Need You Now,I Need You Now,2009,TRAASZE128F93499AE,19yiZacU2GVbGRjnWUht4y,0.587,0.659,7,-4.179,1,0.0293,0.0234,0.00000112,0.161,0.29,123.976,226187
Jazz Gillum,Take One More Chance With Me,Me And My Buddy,1993,TRAASOD128F428154C,5dNDw6hInplcJ1ovvSLJpD,0.801,0.303,5,-15.667,0,0.149,0.729,0.00215,0.318,0.834,101.253,185574
José Augusto,Ao Vivo,Pecado De Amor,1999,TRAASEO128F9337C48,1wYh5Wb4xcDMsRFrq0ijFs,0.404,0.469,0,-7.907,1,0.0291,0.316,0,0.0671,0.309,97.763,284707
20/20,4 Day Tornado,It Goes On,1995,TRAASDM12903CD474E,4dRL0SVN82FEEBJGOx8nXd,0.553,0.598,11,-13.744,1,0.0266,0.015,0.0439,0.0729,0.379,101.192,302400
The Irish Tenors,Live From Dublin,Mountains Of Mourne,2010,TRAATLC12903D0172B,7lWzOsw4AZwamFiTvvEqkh,0.55,0.141,10,-17.57,1,0.208,0.945,0.00000164,0.735,0.257,120.689,101000
Prozak,Tales From The Sick,Go To Hell,2008,TRAATWQ12903CC5BA8,7CNEw9bGUm3M51eC5HDcca,0.54,0.718,1,-5.866,1,0.429,0.0474,0,0.177,0.263,177.898,173320
Yvette Horner,L'essentiel 2003,La Plus Bath Des Javas,2003,TRAATZQ128F425E5F1,5KnmoQXgXBmeFVOhemyLlJ,0.688,0.493,7,-5.903,1,0.103,0.448,0.707,0.0427,0.958,161.673,147973
LORE,My Soul Speaks,Haunting,2006,TRAAUMJ128F933BDB6,2K1lozFQXyljyX9BoPx5CT,0.513,0.712,8,-7.909,0,0.0561,0.00207,0.00149,0.167,0.378,130.037,216547
Delta 9,No Regrets,Infidel,1997,TRAAUDN128F933F20D,15VgI1UtxtTDzqebw0JauM,0.479,0.911,1,-7.766,1,0.495,0.907,0.877,0.261,0.305,70.699,96256
Lady May,Pink Chokolate!,The Boss,2010,TRAAVIH12903CFAC90,5LlgvMflxAxK37mubMTvyy,0.595,0.844,1,-5.21,1,0.0785,0.000921,0,0.0805,0.342,124.261,214040
The Secret Life of Teenage Girls,The Last Living American Marxists,Carpe PM,2005,TRAAWAD128F92FA59F,4X0WtthDAQYVHPHwVsW6vd,0.442,0.841,7,-9.155,1,0.0591,0.00000933,0.895,0.278,0.121,88.991,153200
Catherine Howe,Harry / Silent Mother Nature,Freedom Enough (From Silent Mother Nature),2006,TRAAWVQ128F9313D31,0aEK6oKQDAhRQPzGWUU6cD,0.562,0.689,6,-11.126,0,0.0433,0.12,0,0.117,0.805,85.758,187360
Igor Stravinsky,Essential Igor Stravinsky,The Owl and the Pussy-cat,2000,TRAAXTY128F42725BC,1dxIRRp541FHa9N4lhCWxm,0.528,0.041,10,-19.196,0,0.0367,0.991,0.00000362,0.0632,0.452,73.116,153733
Michèle Arnaud,Disque Pathé,Marie D'Aquitaine,2006,TRAAYVL128F1473727,3ZTVCLizPp69GOp71l646t,0.291,0.245,0,-11.625,0,0.0375,0.805,0.00000259,0.121,0.304,81.811,177173
JDS,Cream Trance Anthems Ibiza 2009,Nine Ways,1997,TRAAYPG128F933C941,5nQXXmMNOixmmaatxg65V0,0.725,0.903,1,-13.748,1,0.051,0.0554,0.0789,0.0333,0.795,134.007,465217
Angela Dimitriou,Thisia Live,Ftei O Erotas,2008,TRAAZHO128F427C9EC,24500UiPx41PFdN5Z31PGu,0.708,0.773,9,-5.569,0,0.088,0.473,0.00000379,0.0983,0.774,120.034,216347
The Black Velvet Band,King Of Myself,Dancing To A Standstill,1992,TRAAZOZ12903C9CABF,30jQBsAZrTjdAdnPNbETm9,0.576,0.761,2,-8.712,1,0.0345,0.0487,0.00019,0.244,0.699,122.21,256400
John Davis,Leave Home,Knocked Out Of The Park,1997,TRABAWW128F4250A31,49c5ZyHWQcv9WBncskBqmD,0.426,0.015,5,-21.574,1,0.126,0.289,0.000498,0.103,0.183,166.419,183160
Casual,The Building,OAKtown,2005,TRABACN128F425B784,6bl7zfIAjDXS8CgCi3W0O1,0.854,0.528,4,-7.64,0,0.345,0.00427,0,0.163,0.651,160.017,317733
David Martin,A Christian Christmas Celebration (Gift of Love),It Wont Be Christmas,2012,TRABAVQ12903CBF7E0,2IMJIDzbp8zsmHLXYErOtN,0.652,0.426,0,-14.2,1,0.0247,0.0305,0,0.0512,0.561,98.793,237732
Trafik,Salt In NYC,Salt In NYC,2007,TRABAXL128F424FC50,1xo1ptrU8ee8g8RzYpwxB5,0.693,0.641,8,-8.34,0,0.0443,0.00329,0.102,0.095,0.611,126.985,402827
Pucho & His Latin Soul Brothers,Mucho Pucho,Got My Mojo Workin,1997,TRABBTA128F933D304,2fMD2jfV3xsdtRmFlhKZWJ,0.687,0.485,1,-16.313,1,0.0397,0.286,0.0587,0.202,0.85,115.434,338240
Los Manolos,Rumbas Sin Fronte Ras,Rumba De Barcelona,1993,TRABBBV128F42967D7,56hj9AHSYQNWdIF5RHcB2D,0.724,0.975,7,-4.141,0,0.114,0.433,0.0000814,0.531,0.843,118.562,217160
Steel Rain,Trial and Error,Loaded Like A Gun,2004,TRABBAM128F429D223,5ymHhYazOiVbcYDYYtg379,0.308,0.732,6,-8.06,1,0.0329,0.000742,0.0141,0.0693,0.494,98.95,173187
Blingtones,Sonneries tyroliennes,Sonnerie lalaleulé hi houuu,2010,TRABBZN12903CD9297,1HHdxK54acug9oEO4KtOaw,0.473,0.364,5,-8.039,1,0.0552,0.995,0,0.243,0.866,142.644,30171
Soul Mekanik,Get Your Head Stuck On Your Neck,Get Your Head Stuck On Your Neck,2004,TRABBVJ128F92F7EAA,4XOBwsqftF1Dwp1GB4wAch,0.489,0.35,0,-22.481,1,0.65,0.719,0,0.16,0.377,167.652,45667
Gloriana,Il meglio di Gloriana,Clementina Santafè,2009,TRABBJE12903CDB442,50FJqpowrgnutq5FTcO3E7,0.651,0.493,2,-14.127,1,0.12,0.824,0.00153,0.0669,0.92,143.527,153600
Bombay Rockers,Wild Rose,Wild Rose (Back 2 Basics Mix),2005,TRABBKX128F4285205,2tC8h6mkTaBlN0jBfEdqSl,0.825,0.804,4,-6.492,0,0.0448,0.0563,0.00656,0.0687,0.963,121.994,230667
Line Renaud,Platinum Line Renaud,Der Kleine Dompfaff,2018,TRABCEI128F424C983,4yRAB15Fp9CQVgomrLuGLu,0.275,0.331,1,-6.81,1,0.0313,0.856,0.00000144,0.111,0.321,175.799,154107
Luna Orbit Project,Northern Blue,Midnight Star,2008,TRABCAJ12903CDFCC2,4PyCkWXbW2kEUGRxok4Ph3,0.591,0.855,5,-8.589,0,0.0416,0.0000334,0.256,0.206,0.679,140.025,419400
Bitter End,Harsh Realities,Living Hell,1990,TRABCYE128F934CE1D,2VWiab7zgvnsJqjoMTJBNy,0.25,0.866,1,-13.771,1,0.0521,0.0000347,0.034,0.137,0.353,168.776,282560
Maurice Larcange,Joue Legrand & Becaud,Un Peu D'Amour Et D'Amitié,2016,TRABEAZ128F92E7FA9,3L1kglo4kLUWDfjHv5mfJ4,0.481,0.553,1,-5.627,1,0.0349,0.375,0.15,0.301,0.576,137.332,210495
Jauida,Ocean,I don't Want to Be Alone Tonight,2000,TRABEXK12903CCE19B,2TifOU81YYcsVMoo09LHrw,0.464,0.531,7,-6.733,1,0.0283,0.26,0.00000129,0.171,0.311,201.995,270081
Oasis,Stop The Clocks,Morning Glory,1995,TRABEMC128F148EF2D,5AMgAzHqrO8cUGoYGr1CHb,0.333,0.976,2,-3.997,0,0.0886,0.0528,0.0000238,0.494,0.0849,136.968,304279
The Stolen Minks,High Kicks,I Hate You,2008,TRABFYT128F9339BA6,2fa3DKWlxMINFOHM7gItKU,0.214,0.89,2,-2.052,1,0.0449,0.232,0.976,0.486,0.679,122.81,56427
Jay Tee & Baby Bash,The Camp Is Back,All Over Me,2007,TRABFXR128F9350B92,2IlEotpi9hzjK4liBOCXVs,0.788,0.722,8,-5.695,1,0.203,0.151,0,0.283,0.717,99.031,203693
Brian Dullaghan,Songs For A Wedding - 18 Songs For That Special Day,And I Love You So,2016,TRABFMW12903CD352F,11T0n1Qx46W3pifwpxt8JZ,0.476,0.163,10,-14.073,1,0.0276,0.871,0.00000708,0.103,0.145,99.452,214507
State of Chaos,Across the nation,CHAOS INTRO,2002,TRABGYU128F422B4D3,597bUTdyKiIL0of9QaG1z0,0.318,0.399,4,-18.226,0,0.0763,0.548,0.0999,0.269,0.274,98.591,176840
Extasick,Extasick and This Dirty Musick,Misanthrope,2004,TRABGDA128F92F69BB,6KHooKDLY7gKJY9goCoFXa,0.37,0.915,7,-10.069,1,0.126,0.0172,0.845,0.301,0.154,182.988,134027
SNOWPATROL,CHRISTMAS DANCE SENSATION,We Wish You A Merry Christmas,2008,TRABGLK128F9338730,2s447Z0bkzaZnDxrfNNmfV,0.581,0.952,1,-9.16,1,0.0303,0.00135,0.886,0.0842,0.466,143.987,233363
Leonard Kwan,The Legendary Leonard Kwan : The Complete Early Recordings,Hawaiian Chimes,2003,TRABHFK128F92F1271,1bDQY7asH4uLK5XeKQs1GE,0.591,0.31,5,-15.65,1,0.0513,0.84,0.931,0.144,0.551,108.998,170307
True Believers,In This Place,Turn Around,2014,TRABHKR128F424944A,67YqrtZtWos8JuD8ntgY4k,0.573,0.932,6,-3.217,1,0.327,0.357,0,0.0399,0.33,191.961,159076
Zuzu Bollin,Hot Rhythm & Cool Blues,Why don't you eat where you slept last night ?,2012,TRABHVF128F425A0C9,2WdjmV6o9JeFqQIKQvF2ej,0.606,0.393,10,-16.296,1,0.0506,0.736,0.69,0.0823,0.832,131.863,174133
Beatnuts,A Musical Massacre (Explicit),Monster For Music,1999,TRABIJJ128F426A1C1,205W1ZqNchOXrCjO7jbQhc,0.756,0.723,6,-10.178,1,0.216,0.356,0,0.201,0.907,87.391,169093
Terry Snyder,Ultra-Lounge_ Vol. 17: Bongoland,Deep Night/Softly As In A Morning Sunrise (Medley),1998,TRABICV128F146AEF8,1vazfHobo3MVJPUD9eFSs5,0.49,0.433,6,-13.095,1,0.0392,0.478,0.24,0.149,0.644,113.016,341760
Pursuit Of Happiness,One Sided Story,Forbidden Fruit,1990,TRABIZY128F933C696,1xhDRPwS0L3oekR4GQuVAC,0.541,0.897,11,-10.507,0,0.0401,0.119,0.00000806,0.0608,0.508,127.536,196760
Mons Leidvin Takle,Gyldne Øyeblikk,Dansende Foran Speilet,2006,TRABIOZ12903CF3554,1CYbkk5yEXPSfzbjmCutWe,0.457,0.102,7,-19.435,1,0.0458,0.992,0.954,0.129,0.491,141.597,121120
Bobby Hutcherson,Jazz for a Summer Night,Recorda-Me,2004,TRABJAG128F9308636,3iW75emhSIqMCISaJq1sde,0.53,0.471,9,-12.911,0,0.0356,0.727,0.438,0.305,0.55,143.161,353373
Michael Card,The Final Word,Joy In The Journey (The Final Word Album Version),1994,TRABJVT128F14AE4B4,0Ao125w8IHSMkhOskSg3A1,0.557,0.278,6,-11.108,1,0.0304,0.862,0,0.129,0.292,115.16,180693
The Cosmosamatics,Zetrons,Serene,2005,TRABJRI128F92EDF92,5i7xZ4UpKr8S5U5AQ0g7yq,0.259,0.408,3,-14.158,1,0.0427,0.571,0.000687,0.647,0.414,77.179,338360
Richard Galliano,Original Album Classics,Chorinho Pra Ele (Live),2004,TRABJVU128F9349CD1,6T72O89PZh2JcDWor8umhE,0.67,0.646,0,-10.388,1,0.23,0.902,0.881,0.703,0.827,119.54,197293
Gregory Isaacs,Mr. Cool,Lady Of Your Calibre,1996,TRABJFO128F933DD61,226oSYlo4LKIIlTYQQTVrn,0.829,0.252,3,-12.073,1,0.0607,0.0522,0.00301,0.104,0.916,80.004,221827
Rising Lion,American Dread,Letting You Back In,2015,TRABLJH12903CD14F8,0k95HBPzetzQ8LjjR2vaAq,0.579,0.682,7,-8.667,1,0.198,0.0836,0.000145,0.0977,0.874,175.861,281507
Creedence Clearwater Revived,The Best Of (featuring Johnny Guitar Williamson),Have You Ever Seen The Rain,2000,TRABLTP128F930DC6D,4tv7pOFSWAcxsSy1pUteU9,0.574,0.649,0,-9.595,1,0.0307,0.206,0.0000606,0.0863,0.696,121.079,255600
B.A.D.,B.A.D. (Be A Devil),Interlude,2004,TRABLVP128F426EE4A,2Y12YezX8nkoYgBEmakOnB,0.732,0.934,0,-4.818,1,0.133,0.285,0.000109,0.623,0.748,95.509,102333
The Cosmosamatics,Zetrons,12 Seasons of Love,2005,TRABLRO128F92EDF9C,0rwSxa5CyzKQU5TzTTdB9e,0.418,0.271,8,-12.94,1,0.059,0.689,0.0168,0.914,0.293,94.552,515973
Circular,Divergent,Mother,1999,TRABMBK12903CB8E0A,2QcgSxSdGmiCk4G7FOC5N9,0.244,0.163,1,-30.394,1,0.0642,0.836,0.856,0.189,0.0674,139.554,60093
Tha Chamba,Don't Sleep,Korrupted - Remix,1996,TRABMRC128F424A707,2KwPQa4kIh4zJivbCnKYCY,0.692,0.54,8,-6.261,0,0.0646,0.434,0.0134,0.233,0.526,86.116,281731
